EpisodeNumber,IterationTime,Reward,CheckpointCount,AverageVelocity,TimedOut
2001,21.2402954,8.221231,2,10.7200727,False
2002,22.4603233,9.914322,3,10.7828255,False
2003,29.2004776,11.4932,4,8.864211,False
2004,22.7003288,8.385987,2,10.1810637,False
2005,21.86031,8.442708,2,10.6253119,False
2006,21.220295,8.457759,2,10.9203625,False
2007,22.6003265,9.983853,3,10.742116,False
2008,22.5603256,9.96589851,3,10.7567511,False
2009,128.3306,72.68323,19,9.360544,False
2010,240.01445,219.209366,69,12.7537289,True
2011,56.0410919,28.8350029,5,10.557457,False
2012,207.067413,189.42012,61,13.1430264,False
2013,76.09924,62.8210068,20,12.8342924,False
2014,50.1809578,38.7670479,13,12.5154819,False
2015,240.01445,215.277451,67,12.632493,True
2016,240.01445,220.429245,70,12.8250818,True
2017,156.856689,138.171738,45,12.8117981,False
2018,240.01445,222.501236,71,12.9188643,True
2019,240.01445,218.355042,69,12.7546673,True
2020,240.01445,217.194885,68,12.7280626,True
2021,240.01445,215.321991,68,12.5841131,True
2022,240.01445,217.677658,69,12.6967192,True
2023,240.01445,219.392212,70,12.7416983,True
2024,240.01445,215.356445,68,12.5870562,True
2025,240.01445,215.980789,68,12.6255035,True
2026,240.01445,208.774719,66,12.1889248,True
2027,240.01445,83.99194,27,5.37970543,True
2028,240.01445,226.870041,73,13.13369,True
2029,240.01445,216.91449,69,12.6030359,True
2030,240.01445,211.571152,66,12.4129677,True
2031,240.01445,209.168945,66,12.2197561,True
2032,240.01445,210.918045,66,12.3547125,True
2033,240.01445,218.951111,70,12.6866589,True
2034,240.01445,215.553314,68,12.5834713,True
2035,240.01445,214.823029,68,12.5204468,True
2036,240.01445,213.099152,67,12.4368525,True
2037,240.01445,218.311951,70,12.6353254,True
2038,240.01445,212.976959,67,12.4478464,True
2039,240.01445,210.581085,66,12.3158169,True
2040,240.01445,209.927536,66,12.2573061,True
2041,240.01445,210.661423,66,12.3280926,True
2042,240.01445,214.1664,68,12.4751282,True
2043,240.01445,211.255035,66,12.3923187,True
2044,240.01445,137.773254,44,8.232601,True
2045,4.279997,-1.088659,1,14.3423214,False
2046,240.01445,214.796631,68,12.4985743,True
2047,240.01445,210.285446,66,12.287055,True
2048,240.01445,222.493958,72,12.806407,True
2049,240.01445,222.775009,72,12.857914,True
2050,240.01445,221.08992,71,12.794035,True
2051,207.887589,159.750214,52,11.1680689,False
2052,240.01445,210.687088,66,12.3081589,True
2053,240.01445,196.9439,64,11.3467875,True
2054,174.520462,139.021179,46,11.5069685,False
2055,240.01445,199.28241,65,11.4613781,True
2056,240.01445,206.940689,66,12.0109816,True
2057,167.979065,112.099533,37,9.934377,False
2058,240.01445,209.2327,66,12.1988716,True
2059,240.01445,213.558243,67,12.491538,True
2060,240.01445,219.141174,70,12.7243223,True
2061,164.938416,137.94635,45,12.1885519,False
2062,240.01445,210.28389,66,12.3040428,True
2063,240.01445,210.018173,66,12.277874,True
2064,240.01445,227.424484,73,13.1273928,True
2065,240.01445,226.720016,73,13.0842924,True
2066,240.01445,85.79878,28,5.42841,True
2067,3.859997,-1.74242616,1,12.2345705,False
2068,240.01445,228.206055,73,13.2289572,True
2069,240.01445,216.624847,69,12.5603685,True
2070,240.01445,213.485,67,12.445632,True
2071,240.01445,219.0724,70,12.666729,True
2072,240.01445,204.202377,65,11.8449287,True
2073,55.92109,40.20706,14,11.3851318,False
2074,174.6805,155.192535,50,12.8457756,False
2075,27.600441,13.8595257,5,10.27993,False
2076,22.4603233,6.884178,2,8.989891,False
2077,39.0807037,25.362936,9,11.1485815,False
2078,126.610764,83.16313,24,10.3719816,False
2079,24.54037,7.6796627,2,8.898531,False
2080,240.01445,10.11912,3,1.07568359,True
2081,3.31999755,-1.97896862,1,12.773756,False
2082,15.4801645,7.22334671,2,13.5856476,False
2083,24.8403778,8.014922,2,9.078023,False
2084,30.6805115,12.2750587,4,8.94054,False
2085,15.7601709,0.9527173,1,6.525429,False
2086,27.3804359,12.3497162,4,9.952062,False
2087,72.7598,31.2866325,4,9.220098,False
2088,133.451691,112.190041,36,12.42559,False
2089,129.330811,107.754761,34,12.4317131,False
2090,240.01445,223.150681,72,12.8781424,True
2091,240.01445,228.931473,73,13.2841072,True
2092,240.01445,223.147552,72,12.8811464,True
2093,240.01445,224.843613,73,12.9436455,True
2094,240.01445,229.587234,73,13.3537874,True
2095,240.01445,232.3163,74,13.5057011,True
2096,240.01445,229.951126,73,13.3909245,True
2097,240.01445,227.779175,73,13.21778,True
2098,240.01445,227.344238,73,13.1708241,True
2099,18.36023,3.30811977,2,7.09757328,False
2100,31.5605316,13.9391,5,9.125437,False
2101,240.01445,223.254868,72,12.9013138,True
2102,240.01445,235.380234,74,13.7522058,True
2103,153.555984,122.085236,37,12.0259695,False
2104,111.653275,86.887146,28,11.7232742,False
2105,240.01445,224.365936,73,12.9053221,True
2106,240.01445,224.175049,73,12.8935738,True
2107,240.01445,220.782532,71,12.7653675,True
2108,240.01445,163.610855,52,9.62468,True
2109,3.5799973,-1.84130239,1,12.7187958,False
2110,96.07589,84.8271255,27,13.3619833,False
2111,240.01445,232.87738,74,13.5327253,True
2112,240.01445,233.43074,74,13.5816288,True
2113,149.035019,128.5614,42,12.5502663,False
2114,75.7593,61.7097778,20,12.61169,False
2115,70.4202,53.8691559,18,11.8677683,False
2116,51.60099,29.7234879,10,9.818097,False
2117,240.01445,229.927322,73,13.3536978,True
2118,17.160202,3.230318,2,7.45156956,False
2119,17.3202057,3.47475052,2,7.638488,False
2120,16.7801933,3.2411356,2,7.61616755,False
2121,17.7602158,3.148693,2,7.12653446,False
2122,18.2202263,3.27469158,2,7.058217,False
2123,18.1802254,3.255371,2,7.049649,False
2124,18.0802231,3.05805016,2,6.89444542,False
2125,17.640213,3.0913868,2,7.0667057,False
2126,18.38023,3.08848953,2,6.814566,False
2127,11.36007,-1.14224339,1,5.220245,False
2128,37.20066,10.4638519,3,7.039377,False
2129,9.420026,-1.696063,1,5.12574434,False
2130,9.740033,-1.9139204,1,4.543343,False
2131,240.01445,9.272209,4,1.07952166,True
2132,35.44062,6.643696,1,6.43445826,False
2133,132.411469,110.859024,36,12.3308754,False
2134,240.01445,213.9609,68,12.4278088,True
2135,240.01445,208.4121,66,12.17454,True
2136,135.8322,95.538,27,11.1044722,False
2137,50.540966,20.7098,4,8.828745,False
2138,135.13205,109.37738,35,11.998642,False
2139,53.5610352,34.6231,11,10.9022989,False
2140,52.88102,21.7107983,3,9.212304,False
2141,89.83694,67.22719,23,11.2127409,False
2142,64.72115,25.199379,3,8.73819351,False
2143,67.58067,43.87791,16,9.950434,False
2144,45.96086,10.1209536,3,5.70671,False
2145,33.5405769,13.8625031,5,8.524212,False
2146,52.42101,20.823885,3,8.926327,False
2147,138.512772,111.66774,36,11.9085407,False
2148,159.177185,134.5806,43,12.38756,False
2149,240.01445,209.164963,66,12.1583366,True
2150,240.01445,200.571213,65,11.5344181,True
2151,240.01445,206.42067,66,11.9302883,True
2152,240.01445,211.525742,66,12.3571291,True
2153,240.01445,209.536026,66,12.190383,True
2154,240.01445,215.41301,68,12.5301371,True
2155,240.01445,208.057068,66,12.0918312,True
2156,240.01445,211.784042,66,12.3997021,True
2157,240.01445,219.0192,70,12.6606951,True
2158,240.01445,111.117149,35,6.762203,True
2159,15.5201654,12.6145153,4,17.9161854,False
2160,29.8804932,10.82558,3,8.838659,False
2161,27.0004272,10.462513,3,9.448269,False
2162,240.01445,84.3868256,27,5.324538,True
2163,3.43999743,-1.95566177,1,12.5668707,False
2164,130.45105,97.92836,27,11.8757658,False
2165,185.102722,115.026825,21,11.004817,False
2166,146.454468,108.514656,35,10.9751177,False
2167,29.8604927,11.8395844,4,8.852466,False
2168,89.65697,42.24476,3,10.1455593,False
2169,142.313583,91.30079,20,10.9743481,False
2170,240.01445,165.542114,33,11.3093567,True
2171,59.3611679,35.1917572,11,10.085928,False
